Data,Open,High,Low,Close
8/17/2009,2055.26,2064.02,2019.65,2030.7
8/18/2009,2056.98,2058.01,2027.69,2054.26
8/19/2009,2037.38,2089.31,2028.27,2081.54
8/20/2009,2115.09,2146.84,2103.87,2146.84
8/21/2009,2139.95,2241.05,2139.44,2234.63
8/24/2009,2254.75,2289.44,2242.63,2289.44
8/25/2009,2257.58,2317.07,2245.61,2317.07
8/26/2009,2291.12,2310.71,2243.43,2249.51
8/27/2009,2256.07,2292.77,2214.78,2214.78
8/28/2009,2266.57,2301.75,2232.91,2235.91
8/31/2009,2221.88,2232.46,2194.36,2212.72
9/1/2009,2234.3,2245.14,2160.71,2199.6
9/2/2009,2162.03,2168.03,2110.56,2114.17
9/3/2009,2137.97,2154.63,2117.93,2121.32
9/4/2009,2142.23,2157.98,2106.81,2117.09
9/7/2009,2165.16,2197.16,2154.57,2197.01
9/8/2009,2222.5,2223.14,2178.45,2196.93
9/9/2009,2191.32,2223.29,2174.76,2219.81
9/10/2009,2252.6,2259.27,2174.62,2185.22
9/11/2009,2203.09,2203.09,2148.76,2148.76
9/14/2009,2118.75,2134.93,2087.36,2102.53
9/15/2009,2119.9,2122.77,2087.15,2099.17
9/16/2009,2124.21,2148.52,2122.12,2145.75
9/17/2009,2182.74,2182.74,2143.19,2164.82
9/18/2009,2145.57,2161.21,2131.97,2147.28
9/21/2009,2156.29,2167.05,2135.39,2137.8
9/22/2009,2149.15,2249.25,2140.14,2246.97
9/23/2009,2258.01,2296.92,2255.54,2270.89
9/24/2009,2253.09,2293.39,2240.4,2256.39
9/25/2009,2254.2,2260.78,2226.96,2245.27
9/28/2009,2254.16,2271.23,2231.24,2260.61
9/29/2009,2259.06,2269.62,2202.16,2202.16
9/30/2009,2215.15,2235.26,2191.12,2192.37
10/1/2009,2211.39,2255.68,2207.35,2255.68
10/2/2009,2188.33,2195.98,2144.13,2144.13
10/5/2009,2160.11,2170.2,2136.65,2150.59
10/6/2009,2184.83,2227.65,2183.11,2222.27
10/7/2009,2235.48,2235.48,2175.4,2183.16
10/8/2009,2216.02,2219.2,2184.44,2205.42
10/9/2009,2204.01,2235.3,2195.03,2211.26
10/12/2009,2225.21,2246.48,2211.81,2238.51
10/13/2009,2233.73,2234.55,2202.45,2227.46
10/14/2009,2236.01,2302.54,2232.34,2302.54
10/15/2009,2320.53,2325.82,2271.78,2276.1
10/16/2009,2278.19,2300.77,2261.91,2272.37
10/19/2009,2289.91,2322.96,2289.17,2322.17
10/20/2009,2356.42,2362.59,2325.4,2348.65
10/21/2009,2344.16,2377.54,2327.18,2370.65
10/22/2009,2353.17,2382.08,2342.49,2368.11
10/23/2009,2397.98,2416.97,2396.36,2412.18
10/26/2009,2398.09,2411.71,2369.51,2381.07
10/27/2009,2355.75,2359,2320.66,2330.69
10/28/2009,2321.75,2321.99,2271.71,2273.83
10/29/2009,2265.12,2311.5,2245.42,2306.95
10/30/2009,2293.86,2323.72,2268.81,2274.72
11/2/2009,2244.13,2273.01,2239.32,2264.07
11/3/2009,2248.88,2252.42,2193.87,2193.87
11/4/2009,2221.8,2249.08,2217.23,2249.08
11/5/2009,2222.46,2305.84,2219.98,2305.84
11/6/2009,2296.61,2315.73,2257.72,2276.74
11/9/2009,2312.41,2358.84,2306.16,2358.84
11/10/2009,2353.77,2388.57,2339.61,2373.3
11/12/2009,2346.69,2393.6,2346.69,2393.6
11/13/2009,2371.37,2383.31,2349.9,2356.59
11/16/2009,2408.64,2434.99,2407.78,2429.41
11/17/2009,2427.86,2440.85,2414.57,2426.98
11/18/2009,2436.42,2441.79,2368.34,2370.07
11/19/2009,2360.44,2362.77,2328.44,2328.44
11/20/2009,2340.53,2365.61,2315.37,2347.67
11/23/2009,2378.87,2411.7,2374.55,2411.7
11/24/2009,2400.97,2407.42,2356.37,2366.25
11/25/2009,2388.64,2403.8,2364.68,2365.44
11/26/2009,2370.01,2370.01,2331.34,2331.34
11/27/2009,2236.63,2324.83,2236.63,2316.97
11/30/2009,2345.84,2358.26,2328.42,2352.71
12/1/2009,2371.69,2397.3,2370.71,2378.43
12/2/2009,2392.4,2400.8,2374.63,2392.93
12/3/2009,2407.35,2422.26,2389.04,2389.04
12/4/2009,2386.77,2453.17,2377.97,2448.25
12/7/2009,2430.49,2443.58,2410.39,2431.26
12/8/2009,2420.54,2438.6,2369.84,2374.7
12/9/2009,2367.76,2376.03,2320.13,2320.13
12/10/2009,2328.72,2346.12,2309.93,2314.28
12/11/2009,2340.64,2349.08,2322.08,2333.97
12/14/2009,2370.52,2373.26,2340.1,2352.02
12/15/2009,2340.78,2351.48,2324.61,2351.48
12/16/2009,2353.59,2371.5,2347.73,2359.88
12/17/2009,2345,2355.07,2324.74,2330.73
12/18/2009,2330.77,2346,2309.95,2322.64
12/21/2009,2322.34,2354.79,2318.7,2341.9
12/22/2009,2360.19,2372.88,2354.12,2364.9
12/23/2009,2372.13,2375.15,2352.5,2371.07
12/28/2009,2402.91,2409.56,2394.97,2405.04
12/29/2009,2406.64,2418.9,2392.94,2414.85
12/30/2009,2411.17,2415.24,2388.77,2396.44
12/31/2009,2402.01,2403.6,2387.98,2388.72
1/4/2010,2403.01,2450.63,2403.01,2444.58
1/5/2010,2460.63,2480.91,2451.63,2462.3
1/6/2010,2465.92,2472.83,2447.68,2472.83
1/7/2010,2434.32,2448.52,2427.82,2436.4
1/8/2010,2464.47,2468.49,2431.9,2440.42
1/11/2010,2465.27,2475.76,2458.46,2473.5
1/12/2010,2463.97,2466.29,2436.02,2448.71
1/13/2010,2432.02,2462.6,2427.9,2458.05
1/14/2010,2476.23,2476.23,2442.53,2451.98
1/15/2010,2451.05,2468.73,2435.23,2442.38
1/18/2010,2441.74,2465.3,2440.2,2465.3
1/19/2010,2461.86,2489.42,2449.28,2489.42
1/20/2010,2483.26,2501.61,2479.94,2489.45
1/21/2010,2484.11,2489.38,2455.55,2470.51
1/22/2010,2436.77,2441.4,2399.73,2407.78
1/25/2010,2409.93,2425.93,2404.3,2417.87
1/26/2010,2388.1,2393.22,2367.04,2388.64
